iter	MultiClass
0	1.294135386
1	1.223298619
2	1.168212088
3	1.120020233
4	1.078271672
5	1.044651638
6	1.015052567
7	0.9887774202
8	0.9647955773
9	0.9435985211
10	0.9249179215
11	0.9072795384
12	0.8912482782
13	0.8781295639
14	0.8644976907
15	0.8544074943
16	0.844087963
17	0.8343139327
18	0.8261450131
19	0.8171289155
20	0.8099244281
21	0.8027726165
22	0.7966117722
23	0.790262814
24	0.7840308086
25	0.7785380871
26	0.7722361266
27	0.7673054085
28	0.7618149069
29	0.7581442673
30	0.7543570879
31	0.7506611479
32	0.7468702472
33	0.7437323507
34	0.7405069838
35	0.7374336641
36	0.7346589467
37	0.7318620714
38	0.7293665611
39	0.7260818777
40	0.7235191846
41	0.7205241792
42	0.7183270639
43	0.7161979946
44	0.7139906787
45	0.7118917713
46	0.7098191345
47	0.7080822207
48	0.7069476124
49	0.7053644699
50	0.7035013667
51	0.7016853258
52	0.7001837754
53	0.6974861795
54	0.6956842771
55	0.6940370002
56	0.6929195604
57	0.6912719762
58	0.6883818173
59	0.6869578842
60	0.6855421255
61	0.6839616922
62	0.6825869632
63	0.681429051
64	0.6796731648
65	0.6784789692
66	0.6766204593
67	0.6754820843
68	0.6740098137
69	0.6722843002
70	0.6701022014
71	0.6688405331
72	0.6677870643
73	0.6669096172
74	0.6648167722
75	0.6630751301
76	0.6620226628
77	0.6606781165
78	0.6591481467
79	0.6578746401
80	0.6563940981
81	0.6554335626
82	0.6544662459
83	0.6532937947
84	0.6515417794
85	0.6503411306
86	0.6490009488
87	0.6475895108
88	0.6463388689
89	0.6451605309
90	0.6437565076
91	0.6423963486
92	0.6409751758
93	0.6396534619
94	0.6383317579
95	0.6375199158
96	0.6365165789
97	0.6356547443
98	0.6348760514
99	0.6334359892
100	0.632528885
101	0.6315243851
102	0.630427739
103	0.6292438306
104	0.6285319441
105	0.6275179404
106	0.6262318345
107	0.6254481865
108	0.6241764915
109	0.6232958138
110	0.6223557795
111	0.6210797247
112	0.6203394674
113	0.6194463187
114	0.6181366651
115	0.6171709325
116	0.6161328583
117	0.6149760052
118	0.613646486
119	0.61269156
120	0.6119012587
121	0.6111796943
122	0.6102984547
123	0.6093440305
124	0.6081394737
125	0.6073689541
126	0.6067245348
127	0.606056965
128	0.6054209829
129	0.6042487911
130	0.6032915972
131	0.6023781494
132	0.6010036129
133	0.6003211379
134	0.5995720742
135	0.5988608829
136	0.5977647368
137	0.5967310358
138	0.5959541705
139	0.5949123007
140	0.594226052
141	0.5932189521
142	0.5923993139
143	0.5915617741
144	0.5905594256
145	0.5899774941
146	0.5891495541
147	0.5883633092
148	0.5875526585
149	0.5868887515
150	0.5861839501
151	0.5853350357
152	0.5845839799
153	0.5840295361
154	0.5831188564
155	0.5824903934
156	0.5819303267
157	0.5809340997
158	0.5799440589
159	0.5791706963
160	0.578315165
161	0.5778953619
162	0.5769221773
163	0.5758547213
164	0.5752007591
165	0.5747256534
166	0.5738560412
167	0.5733089171
168	0.5725834346
169	0.5718531711
170	0.570975572
171	0.5699926463
172	0.5691341409
173	0.5683532953
174	0.5678480799
175	0.5669600136
176	0.566102944
177	0.5651418574
178	0.5641404237
179	0.5633078542
180	0.5628590784
181	0.5620395838
182	0.5614161971
183	0.5606783323
184	0.5600703636
185	0.5590091546
186	0.5584805363
187	0.5574806903
188	0.5567841341
189	0.5561181338
190	0.5554111238
191	0.5550438929
192	0.5541327147
193	0.5537942156
194	0.5532684085
195	0.5525607328
196	0.5518423213
197	0.5514082037
198	0.5511743777
199	0.5506425707
200	0.550181373
201	0.549369964
202	0.5485838112
203	0.5481897875
204	0.5475245912
205	0.5464619281
206	0.5456663404
207	0.5446413196
208	0.5434767923
209	0.5426188909
210	0.5419697494
211	0.5415641481
212	0.5407808808
213	0.539991982
214	0.5395248865
215	0.5387883332
216	0.5381026676
217	0.5371812806
218	0.5366079237
219	0.5360519532
220	0.5352080018
221	0.5349610685
222	0.5344689278
223	0.533840762
224	0.5331811733
225	0.5324897362
226	0.5321432795
227	0.5316274429
228	0.5311231453
229	0.5305111926
230	0.5295627794
231	0.52918834
232	0.5285456216
233	0.5277374692
234	0.5273221358
235	0.5268235784
236	0.5264312891
237	0.525846309
238	0.5250765683
239	0.5242684978
240	0.5237370361
241	0.5231975513
242	0.522936795
243	0.5223800549
244	0.5213862064
245	0.5208052468
246	0.5200840886
247	0.5194203908
248	0.5185866485
249	0.5181696126
250	0.5174892889
251	0.5170010824
252	0.5166352949
253	0.5158037828
254	0.5152571659
255	0.5144845656
256	0.5139007217
257	0.5135826225
258	0.5131154051
259	0.5123748649
260	0.5117246439
261	0.511111123
262	0.510531297
263	0.5096395714
264	0.5088306636
265	0.5080666681
266	0.5075230724
267	0.5059458747
268	0.5054952818
269	0.5049693178
270	0.5044165141
271	0.5039922148
272	0.5032091009
273	0.5023290602
274	0.5018752134
275	0.5014654643
276	0.5008228513
277	0.5002368866
278	0.4996019348
279	0.4992349124
280	0.4987202433
281	0.4983327308
282	0.4976549779
283	0.4970392151
284	0.4964879447
285	0.4962292397
286	0.4957742882
287	0.4950852206
288	0.4944171414
289	0.4938003424
290	0.4932795069
291	0.4929402293
292	0.4924344814
293	0.4918701847
294	0.4915418476
295	0.4911716927
296	0.4906606581
297	0.490102865
298	0.4896070659
299	0.4888168703
300	0.4881345793
301	0.4876111051
302	0.4872454786
303	0.4867479225
304	0.4863921473
305	0.4858632916
306	0.4854508526
307	0.4850567493
308	0.4846881269
309	0.4839517962
310	0.4834951633
311	0.4829906769
312	0.4822251988
313	0.4818079109
314	0.4812603198
315	0.4807748423
316	0.4803814585
317	0.4799888054
318	0.4794158479
319	0.4788681188
320	0.4783786466
321	0.4780793918
322	0.477794119
323	0.4773680806
324	0.4768163403
325	0.4758470852
326	0.4754861573
327	0.475119009
328	0.4745478609
329	0.4738318589
330	0.4730928465
331	0.4726394142
332	0.4721134901
333	0.4716608193
334	0.4711837864
335	0.4708184319
336	0.4705009847
337	0.4702269118
338	0.4697184476
339	0.4688735802
340	0.4677604861
341	0.4671749238
342	0.4668287685
343	0.4663203101
344	0.465688859
345	0.4651816896
346	0.4649087515
347	0.464066809
348	0.4633652665
349	0.4628080757
